Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
"Statistical Methods for the Biological, Environmental, and Health Sciences",2025 Winter Quarter,Undergraduate,Student Option,32071,Lecture,In Person,5 units,SR,Open,5,200,195,0,0,"Case-study-based introduction to statistical methods as practiced in the biological,  environmental, and health sciences. Descriptive methods, experimental design, probability, interval estimation, hypothesis testing, one- and two-sample problems, power and sample size calculations, simple correlation and simple linear regression, one-way analysis of variance, categorical data analysis.",Prerequisite(s): Mathematics placement (MP) score of 300 or higher or AM 3 or AM 11A or AM 15A or MATH 3 or MATH 11A or MATH 16A or MATH 19A. Concurrent enrollment in STAT 7L is required.,"Concurrent enrollment in STAT 7L is required. Enroll in lecture and associated discussion section. Students must enroll into STAT 7L before they can enroll into STAT 7. If you are unable to get a seat in STAT 7L, you are ineligible to enroll or request enrollment into STAT 7 lecture. Permission codes will not be granted to override this concurrent enrollment or to increase the capacity of STAT 7L.","Days & Times: TuTh 08:00AM-09:35AM, Room: Thim Lecture 003, Instructor: Wang,Y., Dates: 01/06/25 - 03/14/25","#32070 DIS 01A, M 10:40AM-11:45AM, Staff, Loc: PhysSciences 140, Enrl: 35 / 37, Wait: 0 / 0, Open; #32068 DIS 01B, M 12:00PM-01:05PM, Staff, Loc: PhysSciences 140, Enrl: 38 / 38, Wait: 0 / 0, Closed; #32069 DIS 01C, W 02:40PM-03:45PM, Staff, Loc: Crown Clrm 208, Enrl: 37 / 38, Wait: 0 / 0, Open; #32072 DIS 01D, W 05:20PM-06:25PM, Staff, Loc: Crown Clrm 208, Enrl: 15 / 37, Wait: 0 / 0, Open; #32996 DIS 01E, Th 05:20PM-06:25PM, Staff, Loc: R Carson  Acad 250, Enrl: 37 / 37, Wait: 0 / 0, Closed; #32997 DIS 01F, Th 11:40AM-12:45PM, Staff, Loc: McHenry Lib 1340, Enrl: 33 / 37, Wait: 0 / 0, Open"
"Statistical Methods for the Biological, Environmental, and Health Sciences Laboratory",2025 Winter Quarter,Undergraduate,Student Option,31302,Laboratory,In Person,2 units,,Open,12,200,188,0,0,"Computer-based laboratory course in which students gain hands-on experience in analysis of data sets arising from statistical problem-solving in the biological, environmental, and health sciences. Descriptive methods, interval estimation, hypothesis testing, one-and two-sample problems, correlation and regression, one-way analysis of variance, categorical data analysis. (Formerly AMS 7L.)","Prerequisite(s): score of 300 or higher on the mathematics placement examination (MPE), AM 3 or AM 11A  or AM 15A or MATH 3 or MATH 11A or MATH 16A or MATH 19A.  Concurrent enrollment in STAT 7 is required.","Enroll in lab and associated secondary lab. Concurrent enrollment in STAT 7 is required. Students must enroll into STAT 7L before they can enroll into STAT 7. If you are unable to get a seat in STAT 7L, you are ineligible to enroll or request enrollment into STAT 7 lecture. Permission codes will not be granted to override this concurrent enrollment or to increase the capacity of STAT 7L.","Days & Times: , Room: TBD In Person, Instructor: Tang,M., Dates: 01/06/25 - 03/14/25","#31301 LBS 01A, M 01:40PM-02:45PM, Staff, Loc: J Baskin Engr 109, Enrl: 41 / 42, Wait: 0 / 0, Open; #31300 LBS 01B, M 02:55PM-04:00PM, Staff, Loc: J Baskin Engr 109, Enrl: 42 / 42, Wait: 0 / 0, Closed; #31299 LBS 01C, W 04:15PM-05:20PM, Staff, Loc: J Baskin Engr 109, Enrl: 41 / 42, Wait: 0 / 0, Open; #31304 LBS 01D, W 05:30PM-06:35PM, Staff, Loc: J Baskin Engr 109, Enrl: 26 / 40, Wait: 0 / 0, Open; #33138 LBS 01E, Th 11:15AM-12:20PM, Staff, Loc: J Baskin Engr 109, Enrl: 38 / 40, Wait: 0 / 0, Open"
Statistical Methods for Business and Economics,2025 Winter Quarter,Undergraduate,Student Option,31715,Lecture,In Person,5 units,SR,Open,5,225,220,0,0,"Introduction to statistical methods as practiced in business and economics. Topics include descriptive methods, probability, random variables, expected values, sampling, estimation, confidence intervals, hypothesis testing, one- and two-sample problems, power and sample size calculations, correlation, and simple linear regression.",Prerequisite(s): Mathematics placement (MP) score of 300 or higher or completion of AM 3 or AM 11A or ECON 11A or MATH 3 or MATH 11A or MATH 16A or MATH 19A. Concurrent enrollment in STAT 17L is required.,"Enroll in lecture and associated discussion section. Concurrent enrollment in STAT 17L is required, by enrolling first in STAT 17L and then STAT 17. Students must enroll into STAT 17L before they can enroll into STAT 17. If you are unable to get a seat in STAT 17L, you are ineligible to enroll or request enrollment into STAT 17 lecture. Permission codes will not be granted to override this concurrent enrollment or to increase the capacity of STAT 17L.","Days & Times: MWF 09:20AM-10:25AM, Room: Kresge Acad 3105, Instructor: Katznelson,J.R., Dates: 01/06/25 - 03/14/25","#31714 DIS 01A, M 02:40PM-03:45PM, Staff, Loc: Earth&Marine B210, Enrl: 32 / 32, Wait: 0 / 0, Closed; #31713 DIS 01B, M 04:00PM-05:05PM, Staff, Loc: Earth&Marine B210, Enrl: 29 / 32, Wait: 0 / 0, Open; #31716 DIS 01C, Tu 08:30AM-09:35AM, Staff, Loc: Earth&Marine B214, Enrl: 25 / 32, Wait: 0 / 0, Open; #31717 DIS 01D, Tu 11:40AM-12:45PM, Staff, Loc: Oakes Acad 106, Enrl: 32 / 32, Wait: 0 / 0, Closed; #31718 DIS 01E, W 04:00PM-05:05PM, Staff, Loc: R Carson  Acad 252, Enrl: 29 / 32, Wait: 0 / 0, Open; #31719 DIS 01F, W 07:10PM-08:15PM, Staff, Loc: R Carson  Acad 252, Enrl: 25 / 32, Wait: 0 / 0, Open; #32998 DIS 01G, Th 08:30AM-09:35AM, Staff, Loc: Earth&Marine B210, Enrl: 16 / 32, Wait: 0 / 0, Open; #32999 DIS 01H, F 02:40PM-03:45PM, Staff, Loc: McHenry Lib 1340, Enrl: 32 / 32, Wait: 0 / 0, Closed"
Statistical Methods for Business and Economics Laboratory,2025 Winter Quarter,Undergraduate,Student Option,31720,Laboratory,In Person,2 units,,Open,2,110,108,0,0,"Overview and basic training in statistical programs used in the economics major.  Introduces students to basic data analysis workflow. A workflow of data analysis is a process for managing all aspects of data analysis. Planning, documenting, and organizing work; cleaning the data; creating, renaming, and verifying variables; creating summary statistics; and archiving what has been done are all integral parts of students' data analysis. This is an online asynchronous lab, with synchronous office hours/question and answer sessions.","Prerequisites: Mathematics placement (MP) score of 300 or higher, or completion of AM 3 or AM 11A or ECON 11A or MATH 3 or MATH 11A or MATH 16A or MATH 19A. Concurrent enrollment in STAT 17 is required. Declared and proposed majors in one of the economics programs who are transferring in a course equivalent to STAT 17, should contact the Economics Department to petition for an exception to the concurrent enrollment requirement.","Concurrent enrollment in STAT 17 is required. Students must enroll into STAT 17L before they can enroll into STAT 17. If you are unable to get a seat in STAT 17L, you are ineligible to enroll or request enrollment into STAT 17 lecture. Permission codes will not be granted to override this concurrent enrollment or to increase the capacity of STAT 17L.","Days & Times: M 01:20PM-02:25PM, Room: Steven Acad 150, Instructor: Saha,S., Dates: 01/06/25 - 03/14/25",
Statistical Methods for Business and Economics Laboratory,2025 Winter Quarter,Undergraduate,Student Option,31721,Laboratory,In Person,2 units,,Open,4,115,111,0,0,"Overview and basic training in statistical programs used in the economics major.  Introduces students to basic data analysis workflow. A workflow of data analysis is a process for managing all aspects of data analysis. Planning, documenting, and organizing work; cleaning the data; creating, renaming, and verifying variables; creating summary statistics; and archiving what has been done are all integral parts of students' data analysis. This is an online asynchronous lab, with synchronous office hours/question and answer sessions.","Prerequisites: Mathematics placement (MP) score of 300 or higher, or completion of AM 3 or AM 11A or ECON 11A or MATH 3 or MATH 11A or MATH 16A or MATH 19A. Concurrent enrollment in STAT 17 is required. Declared and proposed majors in one of the economics programs who are transferring in a course equivalent to STAT 17, should contact the Economics Department to petition for an exception to the concurrent enrollment requirement.","Concurrent enrollment in STAT 17 is required. Students must enroll into STAT 17L before they can enroll into STAT 17. If you are unable to get a seat in STAT 17L, you are ineligible to enroll or request enrollment into STAT 17 lecture. Permission codes will not be granted to override this concurrent enrollment or to increase the capacity of STAT 17L.","Days & Times: W 01:20PM-02:25PM, Room: Steven Acad 150, Instructor: Saha,S., Dates: 01/06/25 - 03/14/25",
Gambling and Gaming,2025 Winter Quarter,Undergraduate,Student Option,31353,Lecture,In Person,5 units,SR,Open,6,60,54,0,0,"Games of chance and strategy motivated early developments in probability, statistics, and decision theory. Course uses popular games to introduce students to these concepts, which underpin recent scientific developments in economics, genetics, ecology, and physics. (Formerly AMS 80A.)",,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Porter Acad 148, Instructor: Kei,Y., Dates: 01/06/25 - 03/14/25","#33139 DIS 01A, W 02:40PM-03:45PM, Staff, Loc: PhysSciences 114, Enrl: 29 / 60, Wait: 0 / 0, Open"
Introduction to Probability Theory,2025 Winter Quarter,Undergraduate,Student Option,32085,Lecture,In Person,5 units,SR,Open,3,133,130,0,0,"Introduction to probability theory and its applications. Combinatorial analysis, axioms of probability and independence, random variables (discrete and continuous), joint probability distributions, properties of expectation, Central Limit Theorem, Law of Large Numbers, Markov chains. Students cannot receive credit for this course and STAT 203 and CMPE 107. (Formerly AMS 131.)",Prerequisite(s): AM 11B or ECON 11B or MATH 11B or MATH 19B or MATH 20B.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 03:20PM-04:55PM, Room: Steven Acad 150, Instructor: Li,Z., Dates: 01/06/25 - 03/14/25","#32086 DIS 01A, M 08:00AM-09:05AM, Staff, Loc: McHenry Lib 1340, Enrl: 24 / 35, Wait: 0 / 0, Open; #32084 DIS 01B, M 09:20AM-10:25AM, Staff, Loc: McHenry Lib 1340, Enrl: 35 / 36, Wait: 0 / 0, Open; #32082 DIS 01C, Tu 08:30AM-09:35AM, Staff, Loc: Earth&Marine B210, Enrl: 36 / 36, Wait: 0 / 0, Closed; #32083 DIS 01D, W 04:00PM-05:05PM, Staff, Loc: Earth&Marine B210, Enrl: 34 / 36, Wait: 0 / 0, Open"
Introduction to Probability Theory,2025 Winter Quarter,Undergraduate,Student Option,32089,Lecture,In Person,5 units,SR,Open,8,133,125,0,0,"Introduction to probability theory and its applications. Combinatorial analysis, axioms of probability and independence, random variables (discrete and continuous), joint probability distributions, properties of expectation, Central Limit Theorem, Law of Large Numbers, Markov chains. Students cannot receive credit for this course and STAT 203 and CMPE 107. (Formerly AMS 131.)",Prerequisite(s): AM 11B or ECON 11B or MATH 11B or MATH 19B or MATH 20B.,Enroll in lecture and associated discussion section.,"Days & Times: MWF 09:20AM-10:25AM, Room: Steven Acad 150, Instructor: Alfaro Cordoba,M., Dates: 01/06/25 - 03/14/25","#32087 DIS 02A, M 02:40PM-03:45PM, Staff, Loc: Earth&Marine B214, Enrl: 31 / 35, Wait: 0 / 0, Open; #32088 DIS 02B, M 04:00PM-05:05PM, Staff, Loc: Earth&Marine B214, Enrl: 34 / 35, Wait: 0 / 0, Open; #32090 DIS 02C, Tu 03:20PM-04:25PM, Staff, Loc: Oakes Acad 106, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32091 DIS 02D, Tu 06:40PM-07:45PM, Staff, Loc: Oakes Acad 106, Enrl: 25 / 35, Wait: 0 / 0, Open"
Classical and Bayesian Inference,2025 Winter Quarter,Undergraduate,Student Option,31310,Lecture,In Person,5 units,SR,Open,1,75,74,0,0,"Introduction to statistical inference at a calculus-based level: maximum likelihood estimation, sufficient statistics, distributions of estimators, confidence intervals, hypothesis testing, and Bayesian inference. (Formerly AMS 132.)",Prerequisite(s): STAT 131 or CSE 107.,Enroll in lecture and associated discussion section.,"Days & Times: TuTh 08:00AM-09:35AM, Room: N. Sci Annex 101, Instructor: Parker,P., Dates: 01/06/25 - 03/14/25","#33000 DIS 01A, M 10:40AM-11:45AM, Staff, Loc: R Carson Acad 242, Enrl: 25 / 25, Wait: 0 / 0, Closed; #33002 DIS 01B, M 12:00PM-01:05PM, Staff, Loc: R Carson Acad 242, Enrl: 24 / 25, Wait: 0 / 0, Open; #33001 DIS 01C, W 05:20PM-06:25PM, Staff, Loc: Oakes Acad 102, Enrl: 25 / 25, Wait: 0 / 0, Closed"
Introduction to Classical Statistical Learning,2025 Winter Quarter,Graduate,Student Option,32815,Lecture,In Person,5 units,,Open,6,10,4,0,0,"Introduction to classical statistical inference. Topic include: random variables and distributions; types of convergence; central limit theorems; maximum likelihood estimation; Newton-Raphson, Fisher scoring, Expectation-Maximization, and stochastic gradient algorithms; confidence intervals; hypothesis testing; ridge regression, lasso, and elastic net.",Prerequisite(s): STAT 203; or STAT 131 and STAT 132. Enrollment is restricted to graduate students; undergraduates may enroll by permission of the instructor if they've completed STAT 131 and STAT 132 (subject to instructor verification).,,"Days & Times: MWF 12:00PM-01:05PM, Room: Crown Clrm 104, Instructor: Hyun,S., Dates: 01/06/25 - 03/14/25",
Intermediate Classical Inference,2025 Winter Quarter,Graduate,Student Option,31329,Lecture,In Person,5 units,,Open,1,10,9,0,0,Statistical inference from a frequentist point of view. Properties of random samples; convergence concepts applied to point estimators; principles of statistical inference; obtaining and evaluating point estimators with particular attention to maximum likelihood estimates and their properties; obtaining and evaluating interval estimators; and hypothesis testing methods and their properties. (Formerly AMS 205B.),Prerequisite(s): STAT 203. Enrollment is restricted to graduate students. Undergraduates may enroll by permission (STAT 131 and 132 have to be verified by the instructor directly with the student).,,"Days & Times: TuTh 09:50AM-11:25AM, Room: J Baskin Engr 169, Instructor: Sanso,B., Dates: 01/06/25 - 03/14/25",
Intermediate Bayesian Inference,2025 Winter Quarter,Graduate,Student Option,31402,Lecture,In Person,5 units,,Closed,0,10,10,0,0,"Bayesian statistical methods for inference and prediction including: estimation; model selection and prediction; exchangeability; prior, likelihood, posterior, and predictive distributions; coherence and calibration; conjugate analysis; Markov Chain Monte Carlo methods for simulation-based computation; hierarchical modeling; Bayesian model diagnostics, model selection, and sensitivity analysis. (Formerly AMS 206B.)",Prerequisite(s): STAT 203. Enrollment is restricted to graduate students. Undergraduates may enroll by permission (STAT 131 and 132 have to be verified by the instructor directly with the student).,,"Days & Times: TuTh 01:30PM-03:05PM, Room: J Baskin Engr 169, Instructor: Lee,J., Dates: 01/06/25 - 03/14/25",
Time Series Analysis,2025 Winter Quarter,Graduate,Student Option,32524,Lecture,In Person,5 units,,Closed,0,10,10,0,0,"Graduate level introductory course on time series data and models in the time and frequency domains: descriptive time series methods; the periodogram; basic theory of stationary processes; linear filters; spectral analysis; time series analysis for repeated measurements; ARIMA models; introduction to Bayesian spectral analysis; Bayesian learning, forecasting, and smoothing; introduction to Bayesian Dynamic Linear Models (DLMs); DLM mathematical structure; DLMs for trends and seasonal patterns; and autoregression and time series regression models. (Formerly AMS 223.)","Prerequisite(s): STAT 206B, or by permission of instructor. Enrollment is restricted to graduate students.",,"Days & Times: TuTh 11:40AM-01:15PM, Room: Porter Acad 246, Instructor: Killick,R., Dates: 01/06/25 - 03/14/25",
Stochastic Processes,2025 Winter Quarter,Graduate,Student Option,32525,Lecture,In Person,5 units,,Closed,0,10,10,0,0,"Includes probabilistic and statistical analysis of random processes, continuous-time Markov chains, hidden Markov models, point processes, Markov random fields, spatial and spatio-temporal processes, and statistical modeling and inference in stochastic processes. Applications to a variety of fields. (Formerly AMS 263.)","Prerequisite(s): STAT 205; or STAT 131 and STAT 132. Enrollment is restricted to graduate students, undergraduates may enroll by permission of the instructor if they've completed STAT 131 and STAT 132 (subject to instructor verification).",,"Days & Times: TuTh 03:20PM-04:55PM, Room: Crown Clrm 105, Instructor: Kottas,A., Dates: 01/06/25 - 03/14/25",
Seminars in Statistics,2025 Winter Quarter,Graduate,Student Option,31597,Seminar,In Person,2 units,,Open,7,20,13,0,0,Weekly seminar series covering topics of current research in statistics. May be repeated for credit.,Enrollment is restricted to graduate students.,,"Days & Times: M 04:00PM-05:05PM, Room: Engineer 2 194, Instructor: Killick,R., Dates: 01/06/25 - 03/14/25",
Seminar in Bayesian Statistical Methodology,2025 Winter Quarter,Graduate,Student Option,31400,Seminar,In Person,2 units,,Open,21,25,4,0,0,"Weekly seminar/discussion group on Bayesian statistical methods, covering both analytical and computational approaches. Participants present research progress and finding in semiformal discussions. Students must present their own research on a regular basis. (Formerly AMS 280D.) May be repeated for credit.",Enrollment is restricted to graduate students.,,"Days & Times: M 02:40PM-03:45PM, Room: J Baskin Engr 165, Instructor: Hyun,S., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,30163,Seminar,In Person,5 units,TA,Closed,0,22,25,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: MWF 01:20PM-02:25PM, Room: Steven Acad 151, Instructor: Childers,G.M., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Childers,G.M., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31292,Seminar,In Person,5 units,TA,Closed,0,22,25,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: MWF 02:40PM-03:45PM, Room: Steven Acad 151, Instructor: Childers,G.M., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Childers,G.M., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31291,Seminar,In Person,5 units,TA,Closed,0,22,26,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Steven Acad 152, Instructor: Kehler,E.H., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Kehler,E.H., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31290,Seminar,In Person,5 units,TA,Closed,0,22,26,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Steven Acad 152, Instructor: Kehler,E.H., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Kehler,E.H., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31289,Seminar,In Person,5 units,TA,Closed,0,22,25,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Steven Acad 152, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31288,Seminar,In Person,5 units,TA,Closed,0,22,26,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Steven Acad 152, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31287,Seminar,In Person,5 units,TA,Closed,0,22,26,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Steven Fire 177, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31286,Seminar,In Person,5 units,TA,Closed,0,22,23,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Steven Fire 177, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31285,Seminar,In Person,5 units,TA,Closed,0,22,23,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Steven Fire 177, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Samuels,J.A., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31279,Seminar,In Person,5 units,TA,Open,3,25,22,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Steven Acad 131, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31280,Seminar,In Person,5 units,TA,Open,4,25,21,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Steven Acad 131, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31281,Seminar,In Person,5 units,TA,Closed,0,22,25,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Steven Acad 131, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:45PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Rifaqat,Z., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,30165,Seminar,In Person,5 units,TA,Closed,0,22,27,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Cowell Acad 113, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31282,Seminar,In Person,5 units,TA,Closed,0,22,26,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Steven Fire 177, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31283,Seminar,In Person,5 units,TA,Closed,0,22,23,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 05:20PM-06:55PM, Room: Steven Fire 177, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: MacClaren,K.D., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,31284,Seminar,In Person,5 units,TA,Closed,0,22,24,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Steven Acad 151, Instructor: Heald,A., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Heald,A., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,32482,Seminar,In Person,5 units,TA,Closed,0,18,20,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: MWF 12:00PM-01:05PM, Room: Cowell Com 134, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25",
Self and Society 2,2025 Winter Quarter,Undergraduate,Student Option,32483,Seminar,In Person,5 units,TA,Closed,0,18,20,0,0,"Winter quarter of Stevenson's core course continues development of analytical writing, critical reading, and effective speaking in exploring conflicts inherent in modern society. Investigates themes of colonization, race, gender, class, and cultural conflict. (Formerly course 81A.)",Enrollment is restricted to first-year and sophomore college members.,,"Days & Times: MWF 01:20PM-02:25PM, Room: Cowell Com 134, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25; Days & Times: M 07:10PM-08:45PM, Room: Steven Event Ctr 180, Instructor: Camblin,C.E., Dates: 01/06/25 - 03/14/25",
